Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
3/21/2016,410.62,411.96,406.5,411.67,3546.278911,1451351.163,409.2602978
3/20/2016,408.36,412,406.6,411.28,2579.002128,1057230.7,409.9378937
3/19/2016,407.5,409.95,404.1,409.04,2870.24736,1167962.938,406.9206556
3/18/2016,418.47,418.49,403.34,407.91,6391.246595,2620535.277,410.0194286
3/17/2016,416.52,419,415.66,418.49,3704.160673,1548743.032,418.1090317
3/16/2016,415.84,416.82,413.15,416.57,4100.477064,1702108.564,415.1001304
3/15/2016,414.83,417.43,412.15,415.85,4569.879946,1898781.055,415.4991111
3/14/2016,412.99,415.22,410.5,414.99,4470.787435,1848804.286,413.529901
3/13/2016,409.95,417,409.67,413.04,3286.869109,1357510.218,413.0101238
3/12/2016,419.14,420.93,406.59,410.9,4640.49425,1916201.038,412.9303766
3/11/2016,416,421.91,415.11,419.13,5950.807049,2495505.287,419.3557725
3/10/2016,412.99,416.9,409.31,416,5255.299453,2172818.96,413.4529306
3/9/2016,412.14,413.51,408.75,413,4876.78893,2006337.146,411.4053683
3/8/2016,413.96,414.99,408.46,411.75,5576.258204,2294301.547,411.441053
3/7/2016,406.15,414.96,403.03,414.01,5937.733796,2435455.248,410.1657858
3/6/2016,399.77,412.31,393.11,406.23,5692.009309,2305615.943,405.0618714
3/5/2016,408.18,408.98,382,399.83,16436.40386,6542504.741,398.0496461
3/4/2016,420.29,423.9,406.02,408.01,7789.003709,3242408.241,416.2802281
3/3/2016,422.4,424.47,415.85,420.29,7483.646756,3144344.871,420.162118
3/2/2016,433.33,434.5,421.31,423.45,5788.383632,2484758.407,429.2663661
3/1/2016,436.75,437.5,427.01,432.5,6941.516214,2999990.196,432.1808238
2/29/2016,430.26,440.99,428.12,435.23,8463.348832,3688136.636,435.7774575
2/28/2016,431.07,435,422.29,431.68,3501.189413,1503570.388,429.4456001
2/27/2016,432,435,428.22,431.07,4159.35798,1794059.031,431.3307582
2/26/2016,423.38,432,418.01,432,4635.120227,1965128.874,423.9650274
2/25/2016,423.79,426.75,415.79,423.51,5597.967199,2361226.417,421.8006881
2/24/2016,419.1,424.28,409.07,423.78,7258.357303,3044435.837,419.4386843
2/23/2016,438.26,440,414,419.1,10509.60508,4460860.99,424.4556248
2/22/2016,438.33,439.5,431.15,438.27,5840.316055,2550862.123,436.7678221
2/21/2016,434.63,447.99,426,438.5,10300.3526,4513446.913,438.1837289
2/20/2016,419.98,443.96,419.5,434.63,11633.27274,5037569.382,433.0311421
2/19/2016,421.15,422,414,419.54,5015.538102,2101914.466,419.0805499
2/18/2016,415.59,424.9,413.4,421.18,8588.926689,3610499.414,420.3667752
2/17/2016,407.51,421.11,404,415.54,11842.77783,4915480.616,415.0614567
2/16/2016,399.5,407.8,396,407.51,8354.830321,3372130.215,403.6144464
2/15/2016,405.5,409.71,393.4,399.28,7906.697736,3178245.778,401.9687971
2/14/2016,390.99,406.71,390.59,405,9758.392711,3887244.207,398.3488185
2/13/2016,383,390.99,382,390.99,7324.966341,2836694.351,387.2638069
2/12/2016,377.98,383.48,377.07,383.27,5996.092361,2285206.431,381.1159491
2/11/2016,379.34,380.5,373.54,377.98,7471.96039,2820555.121,377.4852881
2/10/2016,373.69,383.85,372.12,379.66,10006.63329,3792903.876,379.03896
2/9/2016,370.95,377,369.12,373.2,5779.680101,2157256.828,373.2484827
2/8/2016,375,378.99,369.99,370.91,6943.108167,2599524.225,374.4035326
2/7/2016,375.39,380,373.04,375,2885.482418,1084985.75,376.0153736
2/6/2016,384.97,384.98,371.35,375.39,5735.697066,2159252.722,376.4586409
2/5/2016,388,389.5,382.99,385,7372.613956,2854281.751,387.1465085
2/4/2016,368.4,391.88,367.95,387.82,13446.47968,5138708.845,382.1601613
2/3/2016,373.05,374,365,368.38,7107.786608,2631356.066,370.2075219
2/2/2016,371.79,375,369.73,373.05,5719.113324,2133603.918,373.0655081
2/1/2016,368.49,378.2,366.53,371.81,7255.134218,2703288,372.6034446
1/31/2016,376.38,379.3,364.7,368.49,4166.66582,1559953.402,374.3888926
1/30/2016,378.12,380.42,372.95,375.64,2587.107173,975585.613,377.0951676
1/29/2016,379.55,383.99,363.73,378.22,13544.14542,5084544.747,375.405357
1/28/2016,394.62,395.56,376,379.75,11414.0455,4361450.235,382.1125679
1/27/2016,391.77,397,390.31,394.95,4262.629337,1680905.768,394.3354289
1/26/2016,390.1,397.7,386.2,391.77,6589.15355,2585992.586,392.4620312
1/25/2016,402.16,402.31,385.5,390.9,8040.830856,3169083.784,394.1239208
1/24/2016,386.37,405.97,385.36,402.16,5448.845213,2176476.214,399.4380696
